attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28
"69115"," 45"," 216"," 3E-06"," 0.74"," 0.733333333333333"," 0.97","-0.26986365247342414","-0.9673778629288619","-0.104047593277527","-0.9673760841660083","-14.032586796615657","-0.5224549597155838","-0.9673777736059721","-0.1839516375038129","0.19397006536013087","-0.09211677810060566","0.9977946581720166","-2.457975986277872","-0.21641852573883588","0.23167948174824377","-0.3048797688760918","0.181780788033585","-0.2189937938950608","0.8734849516546375","-4.07721639656816","-0.37362402493785857","0.21597769280276974"
"69116"," 45"," 216"," 4E-06"," 0.74"," 0.733333333333333"," 0.97","-0.26984981559899246","-0.9673920527963126","-0.10403382810552042","-0.9673908126815359","-14.032574885433604","-0.5224411736136576","-0.9673920036097003","-0.3598188969290238","0.12121878891228155","-0.2756852312108383","0.5733888752756677","-4.578044596912521","-0.43031463882003684","0.13655330861997966","-0.5488869727381622","0.09139900001945489","-0.4885994435905926","0.554814108674929","-6.666348903717826","-0.6598683992603052","0.1331535279429576"
"69117"," 45"," 216"," 5E-06"," 0.74"," 0.733333333333333"," 0.97","-0.26983589510148753","-0.967406063196018","-0.10401994610400978","-0.9674051572878882","-14.032561070701894","-0.5224272371931702","-0.9674060450953457","-0.44046014632267977","0.07265126094544633","-0.36211362761228055","0.345993629012497","-5.493996569468266","-0.5350534115951229","0.08702134545140244","-0.6756681359728964","0.06160524948097168","-0.5843368806054368","0.3205774206727495","-8.197330791229742","-0.813890335793967","0.07602369365481298"
"69118"," 45"," 216"," 6E-06"," 0.74"," 0.733333333333333"," 0.97","-0.2698219650348178","-0.9674201416204464","-0.10400605010581077","-0.9674194878975532","-14.032547829834419","-0.5224133497654655","-0.9674201329636041","-0.5293064174947115","0.03242502587901119","-0.45578814716281113","0.14359225679980359","-6.451114922813035","-0.6393377134170071","0.035559440284672894","-0.8044031244528314","0.016180896980881543","-0.7003462967646557","0.09097099278224141","-9.714966634890374","-0.9664726116206388","0.019745307901180564"
"69119"," 45"," 216"," 7E-06"," 0.74"," 0.733333333333333"," 0.97","-0.2698078503332576","-0.9674341857264637","-0.10399218938498034","-0.9674332406439288","-14.032533777159","-0.5223993439294452","-0.967434168412777","-0.5477555271067013","0.014262210642649542","-0.48186718941436024","0.046067140406763074","-6.684391080617495","-0.6670401833202502","0.010983130956726983","-0.8398860361249223","0.004202252874457635","-0.7292951498998086","0.022878932316491962","-10.1954242135367","-1.0130637461081013","0.0059174581293385264"
"69120"," 45"," 216"," 8E-06"," 0.74"," 0.733333333333333"," 0.97","-0.26979406571687115","-0.9674482614576514","-0.10397815527659837","-0.9674479431656061","-14.032521306109402","-0.5223854947852177","-0.9674482598836813","-0.6204667973535897","0.0019002945456545461","-0.5431266846361196","-0.0024503798088704176","-7.524871355060034","-0.7493190079666416","-7.679761791634654E-5","-0.8934272401593074","-8.393388677817581E-4","-0.774469368300229","-0.00926052022334145","-10.84747378455672","-1.0752622699992829","-5.445379645990789E-4"
"69121"," 45"," 216"," 9E-06"," 0.74"," 0.733333333333333"," 0.97","-0.26978014719848975","-0.9674623633867232","-0.10396420386293803","-0.9674622617781086","-14.032508709089603","-0.5223715759788474","-0.9674623582713169","-0.6727348989093305","-0.01517235171451592","-0.5805824902859955","-0.04802744425385952","-8.166380789022298","-0.8091962481225391","-0.01608856515617063","-0.9341601886566964","-0.0039020919548535815","-0.8075426548121647","-0.02941577012120311","-11.335557673975215","-1.1246748433953493","-0.006635700329819749"
"69132"," 46"," 216"," 0"," 0.74"," 0.733333333333333"," 0.97","-0.2696255749712688","-0.9676156742184874","-0.10380943619215943","-0.9676132080672355","-14.032346753405081","-0.5222168187562423","-0.9676155150506056","-0.2236677935079935","0.08372297706144466","-0.24123989218328873","0.3842195540308751","-2.499142367066895","-0.2721045550325601","0.09081157579424871","-0.6255482105684435","0.0014674533847313098","-0.544843485535302","0.0057197330791227685","-7.537654909437561","-0.7559619299587074","0.0010118519889036337"
"69133"," 46"," 216"," 1E-06"," 0.74"," 0.733333333333333"," 0.97","-0.2696116806155383","-0.9676297671700913","-0.10379558832543057","-0.9676278965922239","-14.032334548292564","-0.5222029845277905","-0.9676296719448078","-0.03279445814101173","0.30862783731478405","0.05732138481464627","1.5496201911296255","-0.9039451114922807","-0.04817291960866163","0.3728592217508018","0.021872489973791598","0.3321947599685389","0.06144822085173432","1.6047936810567889","-0.313632030505242","-0.006708418594934706","0.40495698289043247"
"69134"," 46"," 216"," 2E-06"," 0.74"," 0.733333333333333"," 0.97","-0.269597961432651","-0.9676440175130306","-0.10378200639578583","-0.9676431409857046","-14.032323154987992","-0.5221893119704822","-0.9676439986253726","-0.430786146852762","0.09626492106276457","-0.346151153428782","0.4092134280813531","-5.401372212692967","-0.5200848414667529","0.10234086283373983","-0.6280954094834172","0.08960915157292659","-0.5252718818700037","0.4573062780879754","-7.716873212583413","-0.7564737548072101","0.11378282563390196"
"69135"," 46"," 216"," 3E-06"," 0.74"," 0.733333333333333"," 0.97","-0.26958411678454863","-0.9676581777956439","-0.10376821980027584","-0.9676578595035976","-14.032310949875479","-0.522175504896633","-0.9676581864524897","-0.6132044216853609","0.001000155024028726","-0.5255189554380939","0.012251899044351866","-7.41852487135506","-0.7351405730643339","0.0017234814253352937","-0.8839242288226739","9.616266498425619E-4","-0.7684967218536618","0.01688683099550592","-10.689227836034318","-1.0639005311691176","0.0011492272245955393"
